,crime
24,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
25,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
26,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.
27,A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub.
28,"Delhi Police Officer Kabir Malik battles an insidious adversary, Zarar, who has chosen the path of terrorism. The show unfolds a thrilling chase, capturing the relentless pursuit of justice and the sacrifices made in the line of duty."
29,A highly trained group with colorful personalities investigate crimes that are connected to Navy and Marine Corps personnel.
30,A dramatization of the true stories of ambitious doctors whose medical malpractices have disastrous consequences for those in their care.
31,"New York's finest police detectives and prosecutors fight to make the city a safer place. With integrity as the guiding force from investigation to verdict, the teams weigh every perspective in their commitment to finding justice."
32,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
33,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia."
34,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
35,The secrets and lies of suburban families are made public by the appearance of a stranger.
36,A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County.
37,"Set in 1850s Australia the series follows adult double life of Charles Dickens' famous prince of thieves Dodger now a surgeon, but who can't shake his predilection for crime."
38,"After his teenage daughter goes missing, a widowed surgeon begins uncovering dark secrets of the people closest to him."
39,"The fate of a violently contested kingdom hangs on the fraught bond between two friends-turned-foes in this saga of power, bloodshed and betrayal."
40,"F.B.I. Special Agent Seeley Booth teams up with the Jeffersonian's top anthropologist, Dr. Temperance Brennan, to investigate cases where all that's left of the victims are their bones."
41,Four detectives in four different time periods of London find themselves investigating the same murder.
42,"With her caustic wit and singular charm, DCI Vera Stanhope leads her team as they face a series of captivating murder mysteries set against the breathtaking Northumberland landscape."
43,The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers.
44,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
45,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts."
46,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
47,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by."
48,"Dee Dee Blanchard is overprotective of her daughter, Gypsy, who is trying to escape the toxic relationship she has with her mother. Gypsy's quest for independence opens up a Pandora's box of secrets, which ultimately leads to murder."
49,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
50,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
51,"When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case."
52,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
53,"Follows District 21 of the Chicago Police Department, made up of two different groups: the uniformed cops and the Intelligence Unit."
54,Jimmy Keene is sentenced to 10 years in a minimum security prison but he cuts a deal with the FBI to befriend a suspected serial killer. Keene has to elicit a confession from Larry Hall to find the bodies of as many as eighteen women.
55,A team of exceptional forensic pathologists and scientists investigate heinous crimes and use their skills to catch the people responsible.
56,"The lives of a photojournalist, a soccer mom and a homicide detective are disturbed by a terrible event from the past."
57,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
58,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct."
59,A look at the early days of the crack cocaine epidemic in Los Angeles during the beginning of the 1980s.
60,"In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again uncover the killer."
61,"After a fateful near-miss, an assassin battles his employers and himself, on an international manhunt he insists isn't personal."
62,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be."
63,A spirited con woman and a demoted by-the-book detective are given the chance to redeem themselves. The catch? They have to find a way to work together each using their unique skills to solve crimes.
64,"Fleeing from Medellín to Miami, Griselda Blanco creates one of the most ruthless cartels in history."
65,Charlie has an extraordinary ability to determine when someone is lying. She hits the road with her Plymouth Barracuda and with every stop encounters a new cast of characters and strange crimes she can't help but investigate and solve.
66,Eliza Scarlet joins forces with a Scotland Yard Inspector to solve crime in 19th-century London.
67,Revolves around a family of New York cops.
68,Plot unknown. Sequel to the 2019 film 'Joker.'
69,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.
70,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her."
71,"Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart a killing spree, and solve the mystery that embroiled her parents."
72,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
73,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them."
74,A Detective Inspector is transferred from London to the Caribbean island of Saint-Marie to investigate and solve complex murders.
75,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
76,"A suave, best-selling author teams up with a strait-laced detective to solve crimes in New York City."
77,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path."
78,"Following his release from prison, Mafia capo Dwight ""The General"" Manfredi is exiled to Tulsa, Oklahoma, where he builds a new criminal empire with a group of unlikely characters."
79,"The quirky spin on Conan Doyle's iconic sleuth pitches him as a ""high-functioning sociopath"" in modern-day London. Assisting him in his investigations: Afghanistan War vet John Watson, who's introduced to Holmes by a mutual acquaintance."
80,"Each year, over 600,000 people are reported missing in the United States. Gabi Mosely and her crisis management team use unorthodox methods to find the forgotten people."
81,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
82,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
83,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
84,A local police team investigate crimes within the close knit island community of Shetland.
85,"A famous ""psychic"" outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"", the madman who killed his wife and daughter."
86,"The series follows Adrian Monk, a brilliant former San Francisco detective, who now consults the police as a private consultant whilst battling with an obsessive-compulsive disorder."
87,A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.
88,"Enforcing his own brand of justice, U.S. Marshal Raylan Givens, a strong-willed, quiet law-man haunted by his past, returns to his native town to see that justice is served to those in need."
89,"Molly, a high schooler, secretly earns her living as Angel, a street prostitute whose only family and friends are the ones she works with on the streets. She has to survive against a serial killer who is targeting people of her profession."
90,"An ex-con assumes the identity of a murdered sheriff in the small town of Banshee, Pennsylvania, where he has some unfinished business."
91,Plot kept under wraps.
92,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
93,"The McLusky family are power brokers tackling themes of systemic racism, corruption and inequality in Kingstown, Michigan, where the business of incarceration is the only thriving industry."
94,A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.
95,"Professional writer and amateur sleuth Jessica Fletcher uses her intellect, charm, and persistence to get to the bottom of every crime she encounters."
96,"In the early 1950s, Father Brown, a Roman Catholic priest based in the fictional Cotswold village of Kembleford, uses his distinctive skills to solve various crimes."
97,"A structural engineer installs himself in a prison he helped design, in order to save his falsely accused brother from a death sentence by breaking themselves out from the inside."
98,An ex-hitman comes out of retirement to track down the gangsters who killed his dog and stole his car.
99,A detective in a small Pennsylvania town investigates a local murder while trying to keep her life from falling apart.
100,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
101,"After his revenge on those who murdered his family, aimless Marine veteran Frank Castle finds a new meaning in life as a vigilante known as ""The Punisher""."
102,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure."
103,"Tom Nichols is a hardened New England detective, unflinching in his pursuit of a case where nothing is as it seems and it begins to dismantle the illusions in his own life."
104,Kin tells the story of a fictional Dublin family embroiled in gangland war and speaks to the enduring unbreakable bonds of blood and family.
105,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for."
106,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.
107,"In the late 1970s, two FBI agents broaden the realm of criminal science by investigating the psychology behind murder and end up getting to close to real-life monsters."
108,"A police investigation, the saga of a grieving family, and a Seattle mayoral campaign all interlock after the body of 17-year-old Rosie Larsen is found in the trunk of a submerged car."
109,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
110,The mysterious disappearance of a Scottish fishing trawler and a death onboard a Trident nuclear submarine bring the police into conflict with the Navy and British security services.
111,Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.
112,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
113,"Liza dreams of a better life for herself and her daughter. Hired to work for a bankrupt pharmaceutical company, Liza skyrockets with sales and into the high life, putting her in the middle of a federal criminal conspiracy."
114,Comedy series about four Native American teenagers growing up on a reservation in eastern Oklahoma.
115,A pair of housewives create a $40 million coupon scam.
116,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.
117,"When an insidious supernatural force edges its way into a seemingly straightforward investigation into the gruesome murder of a young boy, it leads a seasoned cop and an unorthodox investigator to question everything they believe in."
118,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
119,"Welcome to the Montecito Resort and Casino in Las Vegas, where you can do anything you want, but Ed Deline and his crack surveillance team will be watching. Just remember: what happens in Vegas stays in Vegas."
120,An L.A.P.D. homicide detective works to solve the murder of a 13-year-old boy while standing trial in federal court for the murder of a serial killer.
121,"Mickey lives with a mother in rehab, a dead father, an annoying aunt and a new school in New Jersey. When a creepy old woman tells him that his father isn't dead, Mickey thinks he's losing his mind."
122,The trials of a master criminal defense attorney handling the most difficult cases in support of the innocent.
123,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
124,"Hercule Poirot, a famous Belgian detective, who has an impeccable knack for getting embroiled in a mystery, solves crimes along with Captain Hastings and Scotland Yard Chief Inspector James Japp."
125,A woman seeks revenge against the man who kidnapped her mother.
126,"An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, including the civilians' roles, are left a mystery."
127,Procedural drama about the inner workings of the New York office of the Federal Bureau of Investigation.
128,Los Angeles homicide detective Lieutenant Columbo uses his humble ways and ingenuous demeanor to winkle out even the most well-concealed of crimes.
129,"Series based on the Marvel Comics superhero Hawkeye, centering on the adventures of Young Avenger, Kate Bishop, who took on the role after the original Avenger, Clint Barton."
130,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
131,"When a novice sleuth convinces the police he has psychic powers, he and his reluctant best friend are hired on as consultants to help solve complicated cases."
132,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.
133,"When Steve McGarrett returns home to Oahu to find his father's killer, the Governor offers him the chance to run his own task force: Five-0."
134,"Childhood friends Jimmy, Dave and Sean are reunited after Jimmy's daughter gets murdered and Sean is the police officer assigned to the case. However, Jimmy suspects Dave is behind the murder."
135,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
136,"The story of a cannibalistic serial killer named Jeffrey Dahmer, a.k.a. the Milwaukee Monster."
137,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
138,Elliot Stabler returns to the NYPD to battle organized crime after a devastating personal loss.
139,An iconoclastic idealist runs his law practice out of the back of his Lincoln Town Car in this series based on Michael Connelly's bestselling novels.
140,"Patricia ""Trish"" Weir is committed to putting her kidnapper and rapist Ernesto Miranda in prison, while her life is destroyed by the legal system."
141,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
142,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress."
143,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
144,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
145,"An anthology series that follows three women in different decades all living in the same house, as they deal with infidelity and betrayals in their marriages."
146,"A law school student and her friends, set out to prove her brother's innocence but the only way to clear his name is by finding the real killer."
147,"Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas, Nevada."
148,"Set in 1970s New York City, The Continental explores the origin of the iconic hotel-for-assassins centerpiece of the John Wick universe seen through the eyes and action of a young Winston Scott."
149,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.
150,An ex-Navy SEAL returns from Afghanistan and uses his military skills to become a private investigator in Hawaii.
151,Counter Terrorism Agent Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.
152,"In the 1890s, William Murdoch uses radical forensic techniques for the time, including fingerprinting and trace evidence, to solve some of the city's most gruesome murders."
153,A homicide detective discovers he is a descendant of hunters who fight supernatural forces.
154,A group of bored teenagers rebels against authority in the community of New Granada after the death of one of their own.
155,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
156,Two London drug dealers ply their lucrative trade at a public housing estate in East London.
157,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
158,"Tech billionaire Miles Bron invites his friends for a getaway on his private Greek island. When someone turns up dead, Detective Benoit Blanc is put on the case."
159,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime."
160,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago."
161,"In December 1935, when his transcontinental luxury train is stranded by deep snow, detective Hercule Poirot is called on to solve a murder that occurred in his car the night before, with a multitude of suspects."
162,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
163,It follows a talented and tireless team of Naval Criminal Investigative Services agents dedicated to solving criminal cases involving the Marines and the Navy. The series explores local stories with Australian actors and producers.
164,Two churchgoing couples enjoy small town family life in Texas - until somebody picks up an axe.
165,"Power Book III: Raising Kanan is a prequel set in the 1990s that will chronicle the early years of Kanan Stark, the character first played by executive producer Curtis ""50 Cent"" Jackson."
166,"A detective investigates the death of the patriarch of an eccentric, combative family."
167,A crew of fishermen tread dangerous waters when their debts start piling up.
168,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance."
169,A Cambridgeshire clergyman finds himself investigating a series of mysterious wrongdoings in his small village of Grantchester.
170,"James and Em Foster are enjoying an all-inclusive beach vacation in the fictional island of La Tolqa, when a fatal accident exposes the resort's perverse subculture of hedonistic tourism, reckless violence and surreal horrors."
171,"In Manhattan in the summer of 1979, a young man is arrested for a shocking crime, and an unlikely investigator must solve the mystery behind it before the true criminal strikes again."
172,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?"
173,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
174,"In late 1950s New York, a young underachiever named Tom Ripley is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes extreme measures."
175,"At the height of the Cold War, two Russian agents pose as the average American couple, complete with family."
176,"A crime-solving duo that cracks the NYPD's most impossible cases. Following his fall from grace in London, eccentric Sherlock escapes to New York where his father forces him to live with his worst nightmare - a sober companion, Dr. Watson."
177,The world of a seemingly perfect family shatters when a shocking murder proves that they're willing to make desperate moves to protect one another.
178,The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.
179,"In a remote Irish village, a damaged Finbar is forced to fight for redemption after a lifetime of sins, but what price is he willing to pay? In the land of saints and sinners, some sins can't be buried."
180,"While out hunting, Llewelyn finds the grisly aftermath of a drug deal. Though he knows better, he cannot resist the cash left behind and takes it. The hunter becomes the hunted when a merciless killer named Chigurh picks up his trail."
181,"Explores every facet of Yankovic's life, from his meteoric rise to fame with early hits like 'Eat It' and 'Like a Surgeon' to his torrid celebrity love affairs and famously depraved lifestyle."
182,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit."
183,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
184,The Jennings' fight for their daughters life after she is kidnapped by an experienced gang of thieves.
185,"Alicia Florrick has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm."
186,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family."
187,"Dick and Rachel, a girl possessed by a strange darkness, get embroiled in a conspiracy that could bring Hell on Earth. Joining them along the way are the hot-headed Starfire and lovable Beast Boy. Together they become a team of heroes."
188,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow."
189,"It follows Monk, a brilliant detective with obsessive-compulsive disorder. He returns to solve one last case involving his stepdaughter Molly, a journalist preparing for her wedding."
190,Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.
191,A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.
192,A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.
193,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries."
194,"A romance fueled by ego, desire and the American Dream."
195,"At a Los Angeles beach, a team of lifeguards led by Lieutenant Mitch Buchannon save lives, deal with personal dramas, fight crime and participate in over the top adventures on a daily basis."
196,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
197,A seemingly cold but very passionate policewoman goes head to head with a seemingly passionate father who is in fact a cold serial killer in this procedural out of Belfast. The only thing they share is their common complexity.
198,"A father travels from Oklahoma to France to help his estranged daughter, who is in prison for a murder she claims she didn't commit."
199,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants."
200,Detective Harry Ambrose investigates various murder cases and tries to analyze the reasons behind ordinary people committing heinous crimes.
201,"The murder of a female GP in a rural playground in front of numerous witnesses draws a group of detectives into an ever-darkening mystery that takes them across Europe, aided by mysterious notes sent by the ""Ghost Detective""."
202,"Bosch embarks on the next chapter of his career and finds himself working with his one-time enemy, Honey Chandler."
203,"Sarah is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home."
204,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.
205,"Johnny and his pals kidnap Jake's 15-year-old brother Zach, then assign his buddy Frankie to be Zach's minder. They develop a brotherly friendship. Zach parties with his captors as things begin to spin out of control."
206,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life."
207,"In a small Oklahoma town in 1964, the rivalry between two gangs, the poor Greasers and the rich Socs, heats up when one gang member accidentally kills a member of the other."
208,"A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman."
209,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
210,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."
211,"The Philadelphia homicide squad's lone female detective finds her calling when she's assigned ""cold cases,"" older crimes that have never been solved."
212,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.
213,"An actor returns home after a public meltdown. Partnering with his police detective friend, he tries to use his acting experience to solve real crimes."
214,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.
215,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere."
216,"Following the events of 'The Batman,' Oswald Cobblepot, aka The Penguin, makes a play to grab the reigns of the crime world in Gotham."
217,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
218,A Western journalist working for a publication in Tokyo takes on one of the city's most powerful crime bosses.
219,"The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart."
220,"The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks."
221,"In Hell, imp Blitzø runs an assassin business targeting the world of the living, using a spell book borrowed from a prince of Hell. With employees Moxxie, Millie, and Loona, they attempt to survive each other while keeping business afloat."
222,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
223,"An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom, one phone call brings back the nightmare."
224,"Follows rookie police officers working in Belfast, a city in which being a frontline response cop comes with unique pressures and dangers."
225,Moviestar Nick Cage is channeling his iconic characters as he's caught between a superfan and a CIA agent.
226,"When Ashley and her young daughter Sarah get caught up in a criminal enterprise that puts their lives at risk, she turns to estranged father Matt, currently living the life of a retired beach bum in the Cayman Islands."
227,"A tale set on death row, where gentle giant John Coffee possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution."
228,"Follows the rise of a midwestern motorcycle club as it evolves over the course of a decade - from a gathering place for local outsiders into a more sinister gang, threatening the original group's way of life."
229,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
230,Troubled war veteran turned Police Officer David Budd is assigned to the Metropolitan Police's Specialist Protection Branch.
231,"A flight attendant with a criminal past gets nabbed by the ATF for smuggling. Under pressure to become an informant against the drug dealer she works for, she must find a way to secure her future without getting killed."
232,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa."
233,War veteran turned private detective Cormoran Strike solves brutal murders with the help of his trusted partner Robin Ellacott.
234,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
235,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.
236,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets."
237,"Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford."
238,"During the Tong Wars in the late 1800s, Ah Sahm, a martial arts prodigy from China, immigrates to San Francisco and becomes a hatchet man for the most powerful tong in Chinatown."
239,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
240,"After treating her mental illness, crime reporter Camille Preaker returns to her hometown to solve the murder of two young girls. However, she is forced to face and deal with her own demons too."
241,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
242,"A story in which ominous things continue and the secrets of the family are revealed as they suddenly inherit the family mountain from their uncle, whom they had forgotten."
243,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.
244,"Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate."
245,It follows the division of the FBI tasked with tracking and capturing the notorious criminals on the FBI's Most Wanted list.
246,"Police Chief Sanders (Jon Hamm) investigates the bizarre murders of two women with the same name and unravels a web of small-town lies. He meets and quickly falls for Rita (Tina Fey), a nosy neighbor who is eager to help solve the mystery."
247,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
248,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive."
